category,store,menu,price,minprice,delivTip,expDelivTime,openingHours
일식,브라운돈까스,정식돈까스,10000,8500,0~2500,18~33분,"매일 - 오전 10:50 ~ 오후 8:30
연중무휴"
일식,미찐돈까스,수제등심돈까스,8500,8500,0~3000,46~61분,"평일, 토요일 - 오후 5:00 ~ 새벽 1:00
일요일 - 오후 5:00 ~ 오후 11:00
연중무휴"
일식,미찐돈까스,수제치즈돈까스,9000,8500,0~3000,46~61분,"평일, 토요일 - 오후 5:00 ~ 새벽 1:00
일요일 - 오후 5:00 ~ 오후 11:00
연중무휴"
일식,미찐돈까스,고구마치즈돈까스,9000,8500,0~3000,46~61분,"평일, 토요일 - 오후 5:00 ~ 새벽 1:00
일요일 - 오후 5:00 ~ 오후 11:00
연중무휴"
양식,언니네화덕핏짜,고르곤졸라,12900,9400,2000,40~55분,"평일, 토요일 - 오전 10:50 ~ 오후 9:00
매주 일요일 휴무"
양식,언니네화덕핏짜,마르게리따,12900,9400,2000,40~55분,"평일, 토요일 - 오전 10:50 ~ 오후 9:00
매주 일요일 휴무"
양식,언니네화덕핏짜,필짜빠짜,14900,9400,2000,40~55분,"평일, 토요일 - 오전 10:50 ~ 오후 9:00
매주 일요일 휴무"
양식,밀플랜비,치킨감자,4500,8000,2000,42~57분,"평일 - 오전 10:30 ~ 밤 12:20
토요일, 일요일 - 낮 12:00 ~ 오후 10:30
연중무휴"
양식,밀플랜비,치킨라이스,4000,8000,2000,42~57분,"평일 - 오전 10:30 ~ 밤 12:20
토요일, 일요일 - 낮 12:00 ~ 오후 10:30
연중무휴"
양식,밀플랜비,소고기라이스,4500,8000,2000,42~57분,"평일 - 오전 10:30 ~ 밤 12:20
토요일, 일요일 - 낮 12:00 ~ 오후 10:30
연중무휴"
양식,도스마스,비프 부리또,4500,12000,2000,45~60분,매일 - 오전 11:00 ~ 오후 11:00
양식,도스마스,믹스 부리또,4000,12000,2000,45~60분,매일 - 오전 11:00 ~ 오후 11:00
양식,도스마스,치킨 부리또,4000,12000,2000,45~60분,매일 - 오전 11:00 ~ 오후 11:00
양식,포지타노,통삼겹스테이크정식,6900,6900,2000~3000,49~64분,"매일 - 오전 11:00 ~ 오후 9:30
연중무휴"
양식,포지타노,스테이크정식,7900,6900,2000~3000,49~64분,"매일 - 오전 11:00 ~ 오후 9:30
연중무휴"
양식,포지타노,소맛보새우정식,7900,6900,2000~3000,49~64분,"매일 - 오전 11:00 ~ 오후 9:30
연중무휴"
양식,투파인드피터,알리올리오,11000~,15000,0~3000,41~56분,"매일 - 오전 11:00 ~ 오후 9:00
준비시간 오후 3:30 ~ 오후 4:30
연중무휴"
양식,투파인드피터,까르보나라,14000~,15000,0~3000,41~56분,"매일 - 오전 11:00 ~ 오후 9:00
준비시간 오후 3:30 ~ 오후 4:30
연중무휴"
양식,투파인드피터,게살크림파스타,14000~,15000,0~3000,41~56분,"매일 - 오전 11:00 ~ 오후 9:00
준비시간 오후 3:30 ~ 오후 4:30
연중무휴"
카페,쥬씨,수박,2500~,6000,3000,30~45분,"매일 - 오전 9:50 ~ 오후 10:00
연중무휴"
카페,쥬씨,딸기바나나,2500~,6000,3000,30~45분,"매일 - 오전 9:50 ~ 오후 10:00
연중무휴"
카페,쥬씨,과일도시락,5000,6000,3000,30~45분,"매일 - 오전 9:50 ~ 오후 10:00
연중무휴"
카페,팔공티,생크림크로플,3300,7000,1000~2000,18~33분,"매일 - 오전 11:30 ~ 오후 9:00
연중무휴"
